radix,infinitve,1.pers-singular-präsens,2.pers-singular-präsens,3.pers-singular-präsens,1.pers-singular-präteritum,partizip 2,1.pers-konjunktiv 2,imperativ-singular,imperativ-plural,hilfsverb
verordn,verordnen,verordne,verordnest,verordnet,verordnete,verordnet,verordnete,verordne,verordnet,haben
amputier,amputieren,amputiere,amputierst,amputiert,amputierte,amputiert,amputierte,amputiere,amputiert,haben
rochier,rochieren,rochiere,rochierst,rochiert,rochierte,rochiert,rochierte,rochier,rochiert,haben
wegräum,wegräumen,räume weg,räumst weg,räumt weg,räumte weg,weggeräumt,räumte weg,räum weg,räumt weg,haben
vergeig,vergeigen,vergeige,vergeigst,vergeigt,vergeigte,vergeigt,vergeigte,vergeig,vergeigt,haben
erschreck,erschrecken,erschrecke,erschreckst,erschreckt,erschreckte,erschreckt,erschreckte,erschrecke,erschreckt,haben
aufstick,aufsticken,sticke auf,stickst auf,stickt auf,stickte auf,aufgestickt,stickte auf,sticke auf,stickt auf,haben
stapel,stapeln,staple,stapelst,stapelt,stapelte,gestapelt,stapelte,staple,stapelt,haben
vereis,vereisen,vereise,vereist,vereist,vereiste,vereist,vereiste,vereis,vereist,sein
herumkram,herumkramen,krame herum,kramst herum,kramt herum,kramte herum,herumgekramt,kramte herum,kram herum,kramt herum,haben
zusammenarbeit,zusammenarbeiten,arbeite zusammen,arbeitest zusammen,arbeitet zusammen,arbeitete zusammen,zusammengearbeitet,arbeitete zusammen,arbeite zusammen,arbeitet zusammen,haben
aufte,aufteen,tee auf,teest auf,teet auf,teete auf,aufgeteet,teete auf,tee auf,teet auf,haben
spuk,spuken,spuke,spukst,spukt,spukte,gespukt,spukte,spuk,spukt,haben
zusammenkratz,zusammenkratzen,kratze zusammen,kratzt zusammen,kratzt zusammen,kratzte zusammen,zusammengekratzt,kratzte zusammen,kratze zusammen,kratzt zusammen,haben
popel,popeln,pople,popelst,popelt,popelte,gepopelt,popelte,pople,popelt,haben
entwald,entwalden,entwalde,entwaldest,entwaldet,entwaldete,entwaldet,entwaldete,entwalde,entwaldet,haben
gleichtu,gleichtun,tue gleich,tust gleich,tut gleich,tat gleich,gleichgetan,täte gleich,tu gleich,tut gleich,haben
herumplag,herumplagen,plage herum,plagst herum,plagt herum,plagte herum,herumgeplagt,plagte herum,plag herum,plagt herum,haben
bedank,bedanken,bedanke,bedankst,bedankt,bedankte,bedankt,bedankte,bedank,bedankt,haben
zusammenrechn,zusammenrechnen,rechne zusammen,rechnest zusammen,rechnet zusammen,rechnete zusammen,zusammengerechnet,rechnete zusammen,rechne zusammen,rechnet zusammen,haben
kontaktier,kontaktieren,kontaktiere,kontaktierst,kontaktiert,kontaktierte,kontaktiert,kontaktierte,kontaktiere,kontaktiert,haben
überfahr,überfahren,überfahre,überfährst,überfährt,überfuhr,überfahren,überführe,überfahre,überfahrt,haben
deut,deuten,deute,deutest,deutet,deutete,gedeutet,deutete,deut,deutet,haben
umpol,umpolen,pole um,polst um,polt um,polte um,umgepolt,polte um,pole um,polt um,haben
verfress,verfressen,verfresse,verfrisst,verfrisst,verfraß,verfressen,verfräße,verfriss,verfresst,haben
zusammenspar,zusammensparen,spare zusammen,sparst zusammen,spart zusammen,sparte zusammen,zusammengespart,sparte zusammen,spare zusammen,spart zusammen,haben
einiggeh,einiggehen,gehe einig,gehst einig,geht einig,ging einig,einiggegangen,ginge einig,geh einig,geht einig,sein
aufzwirbel,aufzwirbeln,zwirble auf,zwirbelst auf,zwirbelt auf,zwirbelte auf,aufgezwirbelt,zwirbelte auf,zwirble auf,zwirbelt auf,haben
kondensier,kondensieren,kondensiere,kondensierst,kondensiert,kondensierte,kondensiert,kondensierte,kondensier,kondensiert,haben
ansteh,anstehen,stehe an,stehst an,steht an,stand an,angestanden,stünde an,steh an,steht an,haben
klingel,klingeln,klingele,klingelst,klingelt,klingelte,geklingelt,klingelte,klingle,klingelt,haben
abstütz,abstützen,stütze ab,stützt ab,stützt ab,stützte ab,abgestützt,stützte ab,stütze ab,stützt ab,haben
abschreck,abschrecken,schrecke ab,schreckst ab,schreckt ab,schreckte ab,abgeschreckt,schreckte ab,schreck ab,schreckt ab,haben
angeh,angehen,gehe an,gehst an,geht an,ging an,angegangen,ginge an,geh an,geht an,sein
andauer,andauern,dauere an,dauerst an,dauert an,dauerte an,angedauert,dauerte an,dauer an,dauert an,haben
auslad,ausladen,lade aus,lädst aus,lädt aus,lud aus,ausgeladen,lüde aus,lad aus,ladet aus,haben
ausschließ,ausschließen,schließe aus,schließt aus,schließt aus,schloss aus,ausgeschlossen,schlösse aus,schließ aus,schließt aus,haben
ausnutz,ausnutzen,nutze aus,nutzt aus,nutzt aus,nutzte aus,ausgenutzt,nutzte aus,nutz aus,nutzt aus,haben
robot,roboten,robote,robotest,robotet,robotete,gerobotet,robotete,robote,robotet,haben
regulier,regulieren,reguliere,regulierst,reguliert,regulierte,reguliert,regulierte,reguliere,reguliert,haben
konterfei,konterfeien,konterfeie,konterfeist,konterfeit,konterfeite,gekonterfeit,konterfeite,konterfeie,konterfeit,haben
becirc,becircen,becirce,becirct,becirct,becircte,becirct,becircte,becirce,becirct,haben
absag,absagen,sage ab,sagst ab,sagt ab,sagte ab,abgesagt,sagte ab,sage ab,sagt ab,haben
abwieg,abwiegen,wiege ab,wiegst ab,wiegt ab,wog ab,abgewogen,wöge ab,wieg ab,wiegt ab,haben
gegenles,gegenlesen,lese gegen,liest gegen,liest gegen,las gegen,gegengelesen,läse gegen,lies gegen,lest gegen,haben
salz,salzen,salze,salzt,salzt,salzte,gesalzen,salzte,salze,salzt,haben
aufhäng,aufhängen,hänge auf,hängst auf,hängt auf,hängte auf,aufgehängt,hängte auf,häng auf,hängt auf,haben
präg,prägen,präge,prägst,prägt,prägte,geprägt,prägte,präge,prägt,haben
beschönig,beschönigen,beschönige,beschönigst,beschönigt,beschönigte,beschönigt,beschönigte,beschönige,beschönigt,haben
vergackeier,vergackeiern,vergackeiere,vergackeierst,vergackeiert,vergackeierte,vergackeiert,vergackeierte,vergackeiere,vergackeiert,haben
vermaledei,vermaledeien,vermaledeie,vermaledeist,vermaledeit,vermaledeite,vermaledeit,vermaledeite,vermaledeie,vermaledeit,haben
glück,glücken,glücke,glückst,glückt,glückte,geglückt,glückte,glücke,glückt,sein
schwäbel,schwäbeln,schwäble,schwäbelst,schwäbelt,schwäbelte,geschwäbelt,schwäbelte,schwäble,schwäbelt,haben
herunterfall,herunterfallen,falle herunter,fällst herunter,fällt herunter,fiel herunter,heruntergefallen,fiele herunter,fall herunter,fallt herunter,sein
runterfall,runterfallen,falle runter,fällst runter,fällt runter,fiel runter,runtergefallen,fiele runter,fall runter,fallt runter,sein
dressier,dressieren,dressiere,dressierst,dressiert,dressierte,dressiert,dressierte,dressiere,dressiert,haben
fotografier,fotografieren,fotografiere,fotografierst,fotografiert,fotografierte,fotografiert,fotografierte,fotografiere,fotografiert,haben
maledei,maledeien,maledeie,maledeist,maledeit,maledeite,maledeit,maledeite,maledeie,maledeit,haben
kreis,kreisen,kreise,kreist,kreist,kreiste,gekreist,kreiste,kreise,kreist,sein
kooperier,kooperieren,kooperiere,kooperierst,kooperiert,kooperierte,kooperiert,kooperierte,kooperier,kooperiert,haben
vergewisser,vergewissern,vergewissere,vergewisserst,vergewissert,vergewisserte,vergewissert,vergewisserte,vergewissere,vergewissert,haben
wehtu,wehtun,tu weh,tust weh,tut weh,tat weh,wehgetan,täte weh,tu weh,tut weh,haben
rechtschreib,rechtschreiben,—,—,—,—,rechtgeschrieben,—,—,—,—
kräh,krähen,krähe,krähst,kräht,krähte,gekräht,krähte,kräh,kräht,haben
aktivier,aktivieren,aktiviere,aktivierst,aktiviert,aktivierte,aktiviert,aktivierte,aktiviere,aktiviert,haben
spechtel,spechteln,spechtle,spechtelst,spechtelt,spechtelte,gespechtelt,spechtelte,spechtle,spechtelt,haben
aktualisier,aktualisieren,aktualisiere,aktualisierst,aktualisiert,aktualisierte,aktualisiert,aktualisierte,aktualisiere,aktualisiert,haben
erricht,errichten,errichte,errichtest,errichtet,errichtete,errichtet,errichtete,errichte,errichtet,haben
brems,bremsen,bremse,bremst,bremst,bremste,gebremst,bremste,brems,bremst,haben
verschrei,verschreien,verschreie,verschreist,verschreit,verschrie,verschrien,verschrie,verschrei,verschreit,haben
miterleb,miterleben,erlebe mit,erlebst mit,erlebt mit,erlebte mit,miterlebt,erlebte mit,erleb mit,erlebt mit,haben
rauf,raufen,raufe,raufst,rauft,raufte,gerauft,raufte,raufe,rauft,haben
entfalt,entfalten,entfalte,entfaltest,entfaltet,entfaltete,entfaltet,entfaltete,entfalt,entfaltet,haben
bäh,bähen,bähe,bähst,bäht,bähte,gebäht,bähte,bähe,bäht,haben
begnüg,begnügen,begnüge,begnügst,begnügt,begnügte,begnügt,begnügte,begnüge,begnügt,haben
anheimstell,anheimstellen,stelle anheim,stellst anheim,stellt anheim,stellte anheim,anheimgestellt,stellte anheim,stelle anheim,stellt anheim,haben
blanchier,blanchieren,blanchiere,blanchierst,blanchiert,blanchierte,blanchiert,blanchierte,blanchier,blanchiert,haben
verstatt,verstatten,verstatte,verstattest,verstattet,verstattete,verstattet,verstattete,verstatte,verstattet,haben
aufweis,aufweisen,weise auf,weist auf,weist auf,wies auf,aufgewiesen,wiese auf,weise auf,weist auf,haben
aneign,aneignen,eigne an,eignest an,eignet an,eignete an,angeeignet,eignete an,eigne an,eignet an,haben
einwickel,einwickeln,wickle ein,wickelst ein,wickelt ein,wickelte ein,eingewickelt,wickelte ein,wickle ein,wickelt ein,haben
anstreb,anstreben,strebe an,strebst an,strebt an,strebte an,angestrebt,strebte an,strebe an,strebt an,haben
streb,streben,strebe,strebst,strebt,strebte,gestrebt,strebte,strebe,strebt,haben
anvertrau,anvertrauen,vertraue an,vertraust an,vertraut an,vertraute an,anvertraut,vertraute an,vertraue an,vertraut an,haben
aufwend,aufwenden,wende auf,wendest auf,wendet auf,wandte auf,aufgewandt,wandte auf,wende auf,wendet auf,haben
verdau,verdauen,verdaue,verdaust,verdaut,verdaute,verdaut,verdaute,verdaue,verdaut,haben
ausrutsch,ausrutschen,rutsche aus,rutschst aus,rutscht aus,rutschte aus,ausgerutscht,rutschte aus,rutsch aus,rutscht aus,sein
aufkreuz,aufkreuzen,kreuze auf,kreuzt auf,kreuzt auf,kreuzte auf,aufgekreuzt,kreuzte auf,kreuz auf,kreuzt auf,sein
simplifizier,simplifizieren,simplifiziere,simplifizierst,simplifiziert,simplifizierte,simplifiziert,simplifizierte,simplifiziere,simplifiziert,haben
versammel,versammeln,versammle,versammelst,versammelt,versammelte,versammelt,versammelte,versammle,versammelt,haben
heg,hegen,hege,hegst,hegt,hegte,gehegt,hegte,heg,hegt,haben
feix,feixen,feixe,feixt,feixt,feixte,gefeixt,feixte,feixe,feixt,haben
quantifizier,quantifizieren,quantifiziere,quantifizierst,quantifiziert,quantifizierte,quantifiziert,quantifizierte,quantifiziere,quantifiziert,haben
xerographier,xerographieren,xerographiere,xerographierst,xerographiert,xerographierte,xerographiert,xerographierte,xerographiere,xerographiert,sein
relax,relaxen,relaxe,relaxt,relaxt,relaxte,relaxt,relaxte,relax,relaxt,haben
überwach,überwachen,überwache,überwachst,überwacht,überwachte,überwacht,überwachte,überwache,überwacht,haben
golf,golfen,golfe,golfst,golft,golfte,gegolft,golfte,golfe,golft,haben
tröst,trösten,tröste,tröstest,tröstet,tröstete,getröstet,tröstete,tröste,tröstet,haben
abschieb,abschieben,schiebe ab,schiebst ab,schiebt ab,schob ab,abgeschoben,schöbe ab,schiebe ab,schiebt ab,haben
blamier,blamieren,blamiere,blamierst,blamiert,blamierte,blamiert,blamierte,blamier,blamiert,haben
vortrag,vortragen,trage vor,trägst vor,trägt vor,trug vor,vorgetragen,trüge vor,trage vor,tragt vor,haben
schwel,schwelen,schwele,schwelst,schwelt,schwelte,geschwelt,schwelte,schwele,schwelt,haben
vergitter,vergittern,vergittere,vergitterst,vergittert,vergitterte,vergittert,vergitterte,vergittere,vergittert,haben
monogrammier,monogrammieren,monogrammiere,monogrammierst,monogrammiert,monogrammierte,monogrammiert,monogrammierte,monogrammiere,monogrammiert,haben
ausbad,ausbaden,bade aus,badest aus,badet aus,badete aus,ausgebadet,badete aus,bade aus,badet aus,haben
fuchtel,fuchteln,fuchtle,fuchtelst,fuchtelt,fuchtelte,gefuchtelt,fuchtelte,fuchtle,fuchtelt,haben
beul,beulen,beule,beulst,beult,beulte,gebeult,beulte,beule,beult,haben
schnauf,schnaufen,schnaufe,schnaufst,schnauft,schnaufte,geschnauft,schnaufte,schnaufe,schnauft,haben
blaff,blaffen,blaffe,blaffst,blafft,blaffte,geblafft,blaffte,blaff,blafft,haben
aufbäum,aufbäumen,bäume auf,bäumst auf,bäumt auf,bäumte auf,aufgebäumt,bäumte auf,bäum auf,bäumt auf,haben
mix,mixen,mixe,mixt,mixt,mixte,gemixt,mixte,mix,mixt,haben
aufprall,aufprallen,pralle auf,prallst auf,prallt auf,prallte auf,aufgeprallt,prallte auf,prall auf,prallt auf,sein
sprint,sprinten,sprinte,sprintest,sprintet,sprintete,gesprintet,sprintete,sprint,sprintet,sein
bewerb,bewerben,bewerbe,bewirbst,bewirbt,bewarb,beworben,bewürbe,bewirb,bewerbt,haben
schnalz,schnalzen,schnalze,schnalzt,schnalzt,schnalzte,geschnalzt,schnalzte,schnalz,schnalzt,haben
dämmer,dämmern,dämmere,dämmerst,dämmert,dämmerte,gedämmert,dämmerte,dämmere,dämmert,haben
droh,drohen,drohe,drohst,droht,drohte,gedroht,drohte,drohe,droht,haben
stotter,stottern,stottere,stotterst,stottert,stotterte,gestottert,stotterte,stotter,stottert,haben
alphabetisier,alphabetisieren,alphabetisiere,alphabetisierst,alphabetisiert,alphabetisierte,alphabetisiert,alphabetisierte,alphabetisiere,alphabetisiert,haben
kollaborier,kollaborieren,kollaboriere,kollaborierst,kollaboriert,kollaborierte,kollaboriert,kollaborierte,kollaboriere,kollaboriert,haben
vernarb,vernarben,vernarbe,vernarbst,vernarbt,vernarbte,vernarbt,vernarbte,vernarbe,vernarbt,sein
zeug,zeugen,zeuge,zeugst,zeugt,zeugte,gezeugt,zeugte,zeuge,zeugt,haben
zisch,zischen,zische,zischst,zischt,zischte,gezischt,zischte,zische,zischt,haben
verwais,verwaisen,verwaise,verwaist,verwaist,verwaiste,verwaist,verwaiste,verwaise,verwaist,sein
komplimentier,komplimentieren,komplimentiere,komplimentierst,komplimentiert,komplimentierte,komplimentiert,komplimentierte,komplimentiere,komplimentiert,haben
vergreis,vergreisen,vergreise,vergreist,vergreist,vergreiste,vergreist,vergreiste,vergreis,vergreist,sein
einbläu,einbläuen,bläue ein,bläust ein,bläut ein,bläute ein,eingebläut,bläute ein,bläu ein,bläut ein,haben
abkrüppel,abkrüppeln,krüppele ab,krüppelst ab,krüppelt ab,krüppelte ab,abgekrüppelt,krüppelte ab,krüppele ab,krüppelt ab,sein
abgräbel,abgräbeln,gräbele ab,gräbelst ab,gräbelt ab,gräbelte ab,abgegräbelt,gräbelte ab,gräbele ab,gräbelt ab,sein
aber,abern,abere,aberst,abert,aberte,geabert,aberte,abere,abert,haben
marach,marachen,marache,marachst,maracht,marachte,maracht,marachte,marache,maracht,haben
spiegel,spiegeln,spiegle,spiegelst,spiegelt,spiegelte,gespiegelt,spiegelte,spiegle,spiegelt,haben
separier,separieren,separiere,separierst,separiert,separierte,separiert,separierte,separiere,separiert,haben
exkommunizier,exkommunizieren,exkommuniziere,exkommunizierst,exkommuniziert,exkommunizierte,exkommuniziert,exkommunizierte,exkommuniziere,exkommuniziert,haben
tölt,tölten,tölte,töltest,töltet,töltete,getöltet,töltete,tölte,töltet,haben
anbieder,anbiedern,biedere an,biederst an,biedert an,biederte an,angebiedert,biederte an,biedere an,biedert an,haben
verhohnepiepel,verhohnepiepeln,verhohnepieple,verhohnepiepelst,verhohnepiepelt,verhohnepiepelte,verhohnepiepelt,verhohnepiepelte,verhohnepieple,verhohnepiepelt,haben
abgeh,abgehen,gehe ab,gehst ab,geht ab,ging ab,abgegangen,ginge ab,geh ab,geht ab,sein
konter,kontern,kontere,konterst,kontert,konterte,gekontert,konterte,kontere,kontert,haben
kaschier,kaschieren,kaschiere,kaschierst,kaschiert,kaschierte,kaschiert,kaschierte,kaschiere,kaschiert,haben
grabsch,grabschen,grabsche,grabschst,grabscht,grabschte,gegrabscht,grabschte,grabsch,grabscht,haben
einspeis,einspeisen,speise ein,speist ein,speist ein,speiste ein,eingespeist,speiste ein,speis ein,speist ein,haben
ramm,rammen,ramme,rammst,rammt,rammte,gerammt,rammte,ramme,rammt,haben
persiflier,persiflieren,persifliere,persiflierst,persifliert,persiflierte,persifliert,persiflierte,persifliere,persifliert,haben
widerspiegel,widerspiegeln,spiegle wider,spiegelst wider,spiegelt wider,spiegelte wider,widergespiegelt,spiegelte wider,spiegle wider,spiegelt wider,haben
äpfel,äpfeln,äpfele,äpfelst,äpfelt,äpfelte,geäpfelt,äpfelte,äpfle,äpfelt,haben
hunz,hunzen,hunze,hunzt,hunzt,hunzte,gehunzt,hunzte,hunz,hunzt,haben
initialisier,initialisieren,initialisiere,initialisierst,initialisiert,initialisierte,initialisiert,initialisierte,initialisiere,initialisiert,haben
bröckel,bröckeln,bröckele,bröckelst,bröckelt,bröckelte,gebröckelt,bröckelte,bröckele,bröckelt,sein
mogel,mogeln,mogle,mogelst,mogelt,mogelte,gemogelt,mogelte,mogle,mogelt,haben
protrahier,protrahieren,protrahiere,protrahierst,protrahiert,protrahierte,protrahiert,protrahierte,protrahiere,protrahiert,haben
aufpass,aufpassen,passe auf,passt auf,passt auf,passte auf,aufgepasst,passte auf,pass auf,passt auf,haben
hechel,hecheln,hechle,hechelst,hechelt,hechelte,gehechelt,hechelte,hechele,hechelt,haben
verfecht,verfechten,verfechte,verfichtst,verficht,verfocht,verfochten,verföchte,verficht,verfechtet,haben
schänd,schänden,schände,schändest,schändet,schändete,geschändet,schändete,schände,schändet,haben
genier,genieren,geniere,genierst,geniert,genierte,geniert,genierte,genier,geniert,haben
plissier,plissieren,plissiere,plissierst,plissiert,plissierte,plissiert,plissierte,plissiere,plissiert,haben
mikroskopier,mikroskopieren,mikroskopiere,mikroskopierst,mikroskopiert,mikroskopierte,mikroskopiert,mikroskopierte,mikroskopiere,mikroskopiert,haben
prognostizier,prognostizieren,prognostiziere,prognostizierst,prognostiziert,prognostizierte,prognostiziert,prognostizierte,prognostizier,prognostiziert,haben
saldier,saldieren,saldiere,saldierst,saldiert,saldierte,saldiert,saldierte,saldier,saldiert,haben
bewunder,bewundern,bewundere,bewunderst,bewundert,bewunderte,bewundert,bewunderte,bewundere,bewundert,haben
abtrag,abtragen,trage ab,trägst ab,trägt ab,trug ab,abgetragen,trüge,trag ab,tragt ab,haben
straff,straffen,straffe,straffst,strafft,straffte,gestrafft,straffte,straff,strafft,haben
flies,fliesen,fliese,fliest,fliest,flieste,gefliest,flieste,flies,fliest,haben
hervorgeh,hervorgehen,gehe hervor,gehst hervor,geht hervor,ging hervor,hervorgegangen,ginge hervor,gehe hervor,geht hervor,sein
zurückhalt,zurückhalten,halte zurück,hältst zurück,hält zurück,hielt zurück,zurückgehalten,hielte zurück,halte zurück,haltet zurück,haben
skizzier,skizzieren,skizziere,skizzierst,skizziert,skizzierte,skizziert,skizzierte,skizziere,skizziert,haben
fortschick,fortschicken,schicke fort,schickst fort,schickt fort,schickte fort,fortgeschickt,schickte fort,schick fort,schickt fort,haben
zauder,zaudern,zaudere,zauderst,zaudert,zauderte,gezaudert,zauderte,zaudere,zaudert,haben
fuß,fußen,fuße,fußt,fußt,fußte,gefußt,fußte,fuße,fußt,haben
missling,misslingen,misslinge,misslingst,misslingt,misslang,misslungen,misslänge,misslinge,misslingt,sein
spendier,spendieren,spendiere,spendierst,spendiert,spendierte,spendiert,spendierte,spendiere,spendiert,haben
bewerkstellig,bewerkstelligen,bewerkstellige,bewerkstelligst,bewerkstelligt,bewerkstelligte,bewerkstelligt,bewerkstelligte,bewerkstellig,bewerkstelligt,haben
konsekrier,konsekrieren,konsekriere,konsekrierst,konsekriert,konsekrierte,konsekriert,konsekrierte,konsekriere,konsekriert,haben
weiger,weigern,weigere,weigerst,weigert,weigerte,geweigert,weigerte,weiger,weigert,haben
umfang,umfangen,umfange,umfängst,umfängt,umfing,umfangen,umfinge,umfange,umfangt,haben
brillier,brillieren,brilliere,brillierst,brilliert,brillierte,brilliert,brillierte,brillier,brilliert,haben
austrink,austrinken,trinke aus,trinkst aus,trinkt aus,trank aus,ausgetrunken,tränke aus,trinke aus,trinkt aus,haben
entweih,entweihen,entweihe,entweihst,entweiht,entweihte,entweiht,entweihte,entweihe,entweiht,haben
trassier,trassieren,trassiere,trassierst,trassiert,trassierte,trassiert,trassierte,trassiere,trassiert,haben
akkommodier,akkommodieren,akkommodiere,akkommodierst,akkommodiert,akkommodierte,akkommodiert,akkommodierte,akkommodiere,akkommodiert,haben
einmahn,einmahnen,mahne ein,mahnst ein,mahnt ein,mahnte ein,eingemahnt,mahnte ein,mahne ein,mahnt ein,haben
niesel,nieseln,—,—,nieselt,nieselte,genieselt,nieselte,—,—,haben
erbitter,erbittern,erbittere,erbitterst,erbittert,erbitterte,erbittert,erbitterte,erbittere,erbittert,haben
identifizier,identifizieren,identifiziere,identifizierst,identifiziert,identifizierte,identifiziert,identifizierte,identifiziere,identifiziert,haben
dinier,dinieren,diniere,dinierst,diniert,dinierte,diniert,dinierte,diniere,diniert,haben
schlenz,schlenzen,schlenze,schlenzt,schlenzt,schlenzte,geschlenzt,schlenzte,schlenz,schlenzt,haben
entgrät,entgräten,entgräte,entgrätest,entgrätet,entgrätete,entgrätet,entgrätete,entgrät,entgrätet,haben
befleiß,befleißen,befleiße,befleißt,befleißt,befliss,beflissen,beflisse,befleiß,befleißt,haben
gestatt,gestatten,gestatte,gestattest,gestattet,gestattete,gestattet,gestattete,gestatte,gestattet,haben
befolg,befolgen,befolge,befolgst,befolgt,befolgte,befolgt,befolgte,befolg,befolgt,haben
zusprech,zusprechen,spreche zu,sprichst zu,spricht zu,sprach zu,zugesprochen,spräche zu,sprich zu,sprecht zu,haben
einimpf,einimpfen,impfe ein,impfst ein,impft ein,impfte ein,eingeimpft,impfte ein,impf ein,impft ein,haben
erneuer,erneuern,erneuere,erneuerst,erneuert,erneuerte,erneuert,erneuerte,erneuere,erneuert,haben
sock,socken,socke,sockst,sockt,sockte,gesockt,sockte,sock,sockt,sein
dräng,drängen,dränge,drängst,drängt,drängte,gedrängt,drängte,dränge,drängt,haben
normier,normieren,normiere,normierst,normiert,normierte,normiert,normierte,normiere,normiert,haben
kommentier,kommentieren,kommentiere,kommentierst,kommentiert,kommentierte,kommentiert,kommentierte,kommentiere,kommentiert,haben
schwör,schwören,schwöre,schwörst,schwört,schwor,geschworen,schwüre,schwöre,schwört,haben
überwind,überwinden,überwinde,überwindest,überwindet,überwand,überwunden,überwände,überwinde,überwindet,haben
verschaff,verschaffen,verschaffe,verschaffst,verschafft,verschaffte,verschafft,verschaffte,verschaff,verschafft,haben
einatm,einatmen,atme ein,atmest ein,atmet ein,atmete ein,eingeatmet,atmete ein,atme ein,atmet ein,haben
konfiszier,konfiszieren,konfisziere,konfiszierst,konfisziert,konfiszierte,konfisziert,konfiszierte,konfiszier,konfisziert,haben
ausatm,ausatmen,atme aus,atmest aus,atmet aus,atmete aus,ausgeatmet,atmete aus,atme aus,atmet aus,haben
auslob,ausloben,lobe aus,lobst aus,lobt aus,lobte aus,ausgelobt,lobte aus,lob aus,lobt aus,haben
plädier,plädieren,plädiere,plädierst,plädiert,plädierte,plädiert,plädierte,plädiere,plädiert,haben
bagger,baggern,baggere,baggerst,baggert,baggerte,gebaggert,baggerte,baggere,baggert,haben
verarbeit,verarbeiten,verarbeite,verarbeitest,verarbeitet,verarbeitete,verarbeitet,verarbeitete,verarbeite,verarbeitet,haben
siech,siechen,sieche,siechst,siecht,siechte,gesiecht,siechte,sieche,siecht,haben
schnuck,schnucken,schnucke,schnuckst,schnuckt,schnuckte,geschnuckt,schnuckte,schnucke,schnuckt,haben
einschmeichel,einschmeicheln,schmeichle ein,schmeichelst ein,schmeichelt ein,schmeichelte ein,eingeschmeichelt,schmeichelte ein,schmeichle ein,schmeichelt ein,haben
einbring,einbringen,bringe ein,bringst ein,bringt ein,brachte ein,eingebracht,brächte ein,bringe ein,bringt ein,haben
ersteh,erstehen,erstehe,erstehst,ersteht,erstand,erstanden,erstünde,erstehe,ersteht,haben
antreib,antreiben,treibe an,treibst an,treibt an,trieb an,angetrieben,triebe an,treib an,treibt an,haben
präsentier,präsentieren,präsentiere,präsentierst,präsentiert,präsentierte,präsentiert,präsentierte,präsentiere,präsentiert,haben
misstrau,misstrauen,misstraue,misstraust,misstraut,misstraute,misstraut,misstraute,misstraue,misstraut,haben
abfind,abfinden,finde ab,findest ab,findet ab,fand ab,abgefunden,fände ab,finde ab,findet ab,haben
laut,lauten,laute,lautest,lautet,lautete,gelautet,lautete,laute,lautet,haben
innewohn,innewohnen,wohne inne,wohnst inne,wohnt inne,wohnte inne,innegewohnt,wohnte inne,wohn inne,wohnt inne,haben
bewehr,bewehren,bewehre,bewehrst,bewehrt,bewehrte,bewehrt,bewehrte,bewehr,bewehrt,haben
kommunizier,kommunizieren,kommuniziere,kommunizierst,kommuniziert,kommunizierte,kommuniziert,kommunizierte,kommuniziere,kommuniziert,haben
verrohr,verrohren,verrohre,verrohrst,verrohrt,verrohrte,verrohrt,verrohrte,verrohre,verrohrt,haben
aufdreh,aufdrehen,drehe auf,drehst auf,dreht auf,drehte auf,aufgedreht,drehte auf,dreh auf,dreht auf,haben
sächsel,sächseln,sächsle,sächselst,sächselt,sächselte,gesächselt,sächselte,sächsle,sächselt,haben
pendel,pendeln,pendle,pendelst,pendelt,pendelte,gependelt,pendelte,pendle,pendelt,haben
umreiß,umreißen,reiße um,reißt um,reißt um,riss um,umgerissen,risse um,reiß um,reißt um,haben
einwirk,einwirken,wirke ein,wirkst ein,wirkt ein,wirkte ein,eingewirkt,wirkte ein,wirk ein,wirkt ein,haben
auflad,aufladen,lade auf,lädst auf,lädt auf,lud auf,aufgeladen,lüde auf,lade auf,ladet auf,haben
wegdrück,wegdrücken,drücke weg,drückst weg,drückt weg,drückte weg,weggedrückt,drückte weg,drück weg,drückt weg,haben
internier,internieren,interniere,internierst,interniert,internierte,interniert,internierte,interniere,interniert,haben
übergeh,übergehen,gehe über,gehst über,geht über,ging über,übergegangen,ginge über,geh über,geht über,sein
einstimm,einstimmen,stimme ein,stimmst ein,stimmt ein,stimmte ein,eingestimmt,stimmte ein,stimm ein,stimmt ein,haben
schwank,schwanken,schwanke,schwankst,schwankt,schwankte,geschwankt,schwankte,schwank,schwankt,sein
schwenk,schwenken,schwenke,schwenkst,schwenkt,schwenkte,geschwenkt,schwenkte,schwenk,schwenkt,haben
entschuldig,entschuldigen,entschuldige,entschuldigst,entschuldigt,entschuldigte,entschuldigt,entschuldigte,entschuldige,entschuldigt,haben
verschrift,verschriften,verschrifte,verschriftest,verschriftet,verschriftete,verschriftet,verschriftete,verschrift,verschriftet,haben
giggel,giggeln,giggele,giggelst,giggelt,giggelte,gegiggelt,giggelte,giggel,giggelt,haben
hinterfrag,hinterfragen,hinterfrage,hinterfragst,hinterfragt,hinterfragte,hinterfragt,hinterfragte,hinterfrag,hinterfragt,haben
hochheb,hochheben,hebe hoch,hebst hoch,hebt hoch,hob hoch,hochgehoben,höbe hoch,heb hoch,hebt hoch,haben
beziffer,beziffern,beziffere,bezifferst,beziffert,bezifferte,beziffert,bezifferte,beziffere,beziffert,haben
